section,engine,variant,case,threads,ms,mb_s,size_mb,pixels_ok,note
window,GDAL GTiff,deflate-band-1024,16x1024 offset-half b1,1,159.4,105,,True,
window,GDAL GTiff,deflate-band-1024,"band 1 only, full extent",1,431.6,279,,True,
window,GDAL LIBERTIFF,deflate-band-1024,16x1024 aligned,1,157.3,320,,True,
window,GDAL LIBERTIFF,deflate-band-1024,16x1024 aligned b1,1,53.9,311,,True,
window,GDAL LIBERTIFF,deflate-band-1024,16x1024 offset-half,1,628.6,80,,True,
window,GDAL LIBERTIFF,deflate-band-1024,16x1024 offset-half b1,1,211.7,79,,True,
window,GDAL LIBERTIFF,deflate-band-1024,"band 1 only, full extent",1,396.1,304,,True,
window,GDAL GTiff,zstd-band-1024,16x1024 aligned,1,96.4,522,,True,
window,GDAL GTiff,zstd-band-1024,16x1024 aligned b1,1,29.1,576,,True,
window,GDAL GTiff,zstd-band-1024,16x1024 offset-half,1,280.8,179,,True,
window,GDAL GTiff,zstd-band-1024,16x1024 offset-half b1,1,80.3,209,,True,
window,GDAL GTiff,zstd-band-1024,"band 1 only, full extent",1,227.9,529,,True,
window,GDAL LIBERTIFF,zstd-band-1024,16x1024 aligned,1,76.6,657,,True,
window,GDAL LIBERTIFF,zstd-band-1024,16x1024 aligned b1,1,24.7,679,,True,
window,GDAL LIBERTIFF,zstd-band-1024,16x1024 offset-half,1,319.6,157,,True,
window,GDAL LIBERTIFF,zstd-band-1024,16x1024 offset-half b1,1,99.1,169,,True,
window,GDAL LIBERTIFF,zstd-band-1024,"band 1 only, full extent",1,201.5,598,,True,
