section,engine,variant,case,threads,ms,mb_s,size_mb,pixels_ok,note
config,GDAL LIBERTIFF,orig,pixel out + prealloc,32,51.5,7023,,True,
config,GDAL GTiff,orig,local file (page cache),32,62.6,5775,,True,
config,GDAL LIBERTIFF,orig,local file (page cache),32,56.2,6432,,True,
config,GDAL GTiff,none-band-1024,default,32,19.3,18752,,True,
config,GDAL GTiff,none-band-1024,GTIFF_DIRECT_IO=YES,32,86.2,4195,,True,
config,GDAL GTiff,none-band-1024,GTIFF_VIRTUAL_MEM_IO=YES,32,70.0,5163,,True,
full,rumi,planar>pfor@1024,"bytes, verify=False",32,66.8,5412,249.8,True,
rumi,rumi,planar>pfor@1024,"path, verify=False",32,66.3,5457,249.8,True,
window,rumi,planar>pfor@1024,"band 1 only, full extent",32,33.5,3596,,True,
window,rumi,planar>pfor@1024,16x1024 aligned,32,59.6,844,,True,
window,rumi,planar>pfor@1024,16x1024 aligned b1,32,36.1,465,,True,
window,rumi,planar>pfor@1024,16x1024 offset-half,32,80.1,628,,True,
window,rumi,planar>pfor@1024,16x1024 offset-half b1,32,68.6,245,,True,
full,rumi,planar>pfor@1024@b,"bytes, verify=False",32,32.8,11029,249.8,True,
rumi,rumi,planar>pfor@1024@b,"path, verify=False",32,112.6,3211,249.8,True,
window,rumi,planar>pfor@1024@b,"band 1 only, full extent",32,27.5,4390,,True,
window,rumi,planar>pfor@1024@b,16x1024 aligned,32,26.2,1922,,True,
window,rumi,planar>pfor@1024@b,16x1024 aligned b1,32,9.4,1794,,True,
window,rumi,planar>pfor@1024@b,16x1024 offset-half,32,36.2,1389,,True,
window,rumi,planar>pfor@1024@b,16x1024 offset-half b1,32,24.6,682,,True,
full,rumi,planar>pfor@512,"bytes, verify=False",32,41.9,8625,249.7,True,
rumi,rumi,planar>pfor@512,"path, verify=False",32,111.1,3255,249.7,True,
window,rumi,planar>pfor@512,"band 1 only, full extent",32,23.3,5168,,True,
window,rumi,planar>pfor@512,16x1024 aligned,32,36.4,1385,,True,
window,rumi,planar>pfor@512,16x1024 aligned b1,32,19.8,849,,True,
window,rumi,planar>pfor@512,16x1024 offset-half,32,38.5,1308,,True,
window,rumi,planar>pfor@512,16x1024 offset-half b1,32,24.2,694,,True,
full,rumi,planar>zstd@1024,"bytes, verify=False",32,101.1,3577,224.2,True,
rumi,rumi,planar>zstd@1024,"path, verify=False",32,104.8,3450,224.2,True,
window,rumi,planar>zstd@1024,"band 1 only, full extent",32,73.8,1633,,True,
window,rumi,planar>zstd@1024,16x1024 aligned,32,94.8,531,,True,
window,rumi,planar>zstd@1024,16x1024 aligned b1,32,73.0,230,,True,
window,rumi,planar>zstd@1024,16x1024 offset-half,32,173.3,290,,True,
window,rumi,planar>zstd@1024,16x1024 offset-half b1,32,160.8,104,,True,
rumi,rumi,planar>pfor@1024,"bytes, verify=True",32,69.5,5205,249.8,True,
rumi,rumi,planar>pfor@1024@b,"bytes, verify=True",32,34.4,10523,249.8,True,
rumi,rumi,planar>pfor@512,"bytes, verify=True",32,38.9,9293,249.7,True,
rumi,rumi,planar>zstd@1024,"bytes, verify=True",32,118.8,3044,224.2,True,
window,GDAL GTiff,orig,16x1024 aligned,32,168.3,299,,True,
window,GDAL GTiff,orig,16x1024 aligned b1,32,163.3,103,,True,
window,GDAL GTiff,orig,16x1024 offset-half,32,210.4,239,,True,
window,GDAL GTiff,orig,16x1024 offset-half b1,32,191.9,87,,True,
window,GDAL GTiff,orig,"band 1 only, full extent",32,66.7,1807,,True,
window,GDAL LIBERTIFF,orig,16x1024 aligned,32,163.9,307,,True,
window,GDAL LIBERTIFF,orig,16x1024 aligned b1,32,162.2,103,,True,
window,GDAL LIBERTIFF,orig,16x1024 offset-half,32,197.2,255,,True,
window,GDAL LIBERTIFF,orig,16x1024 offset-half b1,32,176.9,95,,True,
window,GDAL LIBERTIFF,orig,"band 1 only, full extent",32,52.6,2291,,True,
window,GDAL GTiff,deflate-band-1024,16x1024 aligned,32,72.7,692,,True,
window,GDAL GTiff,deflate-band-1024,16x1024 aligned b1,32,58.0,289,,True,
window,GDAL GTiff,deflate-band-1024,16x1024 offset-half,32,72.4,695,,True,
window,GDAL GTiff,deflate-band-1024,16x1024 offset-half b1,32,63.6,264,,True,
window,GDAL GTiff,deflate-band-1024,"band 1 only, full extent",32,23.9,5048,,True,
window,GDAL LIBERTIFF,deflate-band-1024,16x1024 aligned,32,64.3,782,,True,
window,GDAL LIBERTIFF,deflate-band-1024,16x1024 aligned b1,32,53.4,314,,True,
window,GDAL LIBERTIFF,deflate-band-1024,16x1024 offset-half,32,91.5,550,,True,
window,GDAL LIBERTIFF,deflate-band-1024,16x1024 offset-half b1,32,62.1,270,,True,
window,GDAL LIBERTIFF,deflate-band-1024,"band 1 only, full extent",32,18.5,6503,,True,
window,GDAL GTiff,zstd-band-1024,16x1024 aligned,32,44.9,1120,,True,
window,GDAL GTiff,zstd-band-1024,16x1024 aligned b1,32,30.0,559,,True,
window,GDAL GTiff,zstd-band-1024,16x1024 offset-half,32,51.4,980,,True,
window,GDAL GTiff,zstd-band-1024,16x1024 offset-half b1,32,35.3,475,,True,
window,GDAL GTiff,zstd-band-1024,"band 1 only, full extent",32,16.9,7143,,True,
window,GDAL LIBERTIFF,zstd-band-1024,16x1024 aligned,32,38.6,1305,,True,
window,GDAL LIBERTIFF,zstd-band-1024,16x1024 aligned b1,32,24.8,676,,True,
window,GDAL LIBERTIFF,zstd-band-1024,16x1024 offset-half,32,70.3,716,,True,
window,GDAL LIBERTIFF,zstd-band-1024,16x1024 offset-half b1,32,32.9,510,,True,
window,GDAL LIBERTIFF,zstd-band-1024,"band 1 only, full extent",32,12.7,9508,,True,
